Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
Stateline Hillcrest Animal Hospital,3361 Lynch Ct,40.1343,-87.5531,541940,PM2.5 Primary (Filt + Cond,,0.00595946,2011
William Charles Const Co LLC Materials Div,3663 Baxter Rd,42.1598,-89.0452,212312,PM2.5 Primary (Filt + Cond,,0,2011
Roanoke Concrete Products Co,2152 Tri-Lake Rd,40.4563,-88.9788,327320,PM2.5 Primary (Filt + Cond,,0.214973544,2011
Bluewater Thermal Solutions-Rockford,5136 27th Ave,42.2348,-89.0156,332811,PM2.5 Primary (Filt + Cond,,0.24,2011
Koch Fertilizer LLC,3892 Berm Hwy,38.8611,-90.1178,424910,PM2.5 Primary (Filt + Cond,,0.04,2011
IL.DEPT OF TRANSPORTATION,Unknown,42.0206,-88.2829,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Granite City Works of United States Steel Corp,1951 State St,38.6954,-90.1367,331110,PM2.5 Primary (Filt + Cond,Steel Mill,747.6524,2011
ADM Grain Co,405 Maple St,40.1207,-88.7486,424510,PM2.5 Primary (Filt + Cond,,0.6275266,2011
Pactiv LLC,437 Center Rd,41.4909,-87.8465,326140,PM2.5 Primary (Filt + Cond,,0.342105,2011
ADM Development Products,3210 Pkwy Dr,39.8725,-88.9114,325199,PM2.5 Primary (Filt + Cond,,0.09,2011
Abel Vault & Monument Co,1917 N 8th St,40.592,-89.6417,812210,PM2.5 Primary (Filt + Cond,Crematory - Human,0.0010906977,2011
Honeywell International Inc,2768 US 45 N,37.1713,-88.7562,325130,PM2.5 Primary (Filt + Cond,,6.38356942,2011
Consolidated Grain and Barge Co,928 Walton Rd,41.7191,-89.438,424510,PM2.5 Primary (Filt + Cond,,0.155577677,2011
Sensient Flavors Inc,25 E Main St,41.7124,-89.3319,311920,PM2.5 Primary (Filt + Cond,Food Products Processing Plant,0.16,2011
Vulcan Construction Materials LLC,15622 Barber Greene Rd,41.9471,-88.648,212321,PM2.5 Primary (Filt + Cond,,0.0812235,2011
Dupage County Airport,2700 International Dr,41.9126,-88.2473,488119,PM2.5 Primary (Filt + Cond,Airport,4.78509283052,2011
