"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/05/2018","AQS","170010007","1","0.06","ppm","67","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/06/2018","AQS","170010007","1","0.052","ppm","48","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/07/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/08/2018","AQS","170010007","1","0.063","ppm","77","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/09/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/10/2018","AQS","170010007","1","0.059","ppm","64","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/11/2018","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/12/2018","AQS","170010007","1","0.031","ppm","29","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/13/2018","AQS","170010007","1","0.046","ppm","43","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/14/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/15/2018","AQS","170010007","1","0.038","ppm","35","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/16/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/17/2018","AQS","170010007","1","0.055","ppm","51","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/18/2018","AQS","170010007","1","0.034","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/19/2018","AQS","170010007","1","0.038","ppm","35","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/20/2018","AQS","170010007","1","0.045","ppm","42","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/21/2018","AQS","170010007","1","0.046","ppm","43","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/22/2018","AQS","170010007","1","0.052","ppm","48","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/23/2018","AQS","170010007","1","0.055","ppm","51","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/24/2018","AQS","170010007","1","0.06","ppm","67","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/25/2018","AQS","170010007","1","0.046","ppm","43","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/26/2018","AQS","170010007","1","0.058","ppm","61","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/27/2018","AQS","170010007","1","0.055","ppm","51","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/28/2018","AQS","170010007","1","0.065","ppm","84","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/29/2018","AQS","170010007","1","0.051","ppm","47","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/30/2018","AQS","170010007","1","0.063","ppm","77","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/31/2018","AQS","170010007","1","0.052","ppm","48","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/01/2018","AQS","170010007","1","0.066","ppm","87","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/02/2018","AQS","170010007","1","0.047","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/03/2018","AQS","170010007","1","0.051","ppm","47","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/04/2018","AQS","170010007","1","0.055","ppm","51","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/05/2018","AQS","170010007","1","0.06","ppm","67","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/06/2018","AQS","170010007","1","0.056","ppm","54","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/07/2018","AQS","170010007","1","0.058","ppm","61","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/08/2018","AQS","170010007","1","0.049","ppm","45","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/09/2018","AQS","170010007","1","0.044","ppm","41","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/10/2018","AQS","170010007","1","0.047","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/11/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/12/2018","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/13/2018","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/14/2018","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"06/15/2018","AQS","170010007","1","0.043","ppm","40","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
