Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
04/18/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/19/2017,AQS,171430024,1,0.045,ppm,42,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/20/2017,AQS,171430024,1,0.039,ppm,36,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/21/2017,AQS,171430024,1,0.04,ppm,37,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/22/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/23/2017,AQS,171430024,1,0.059,ppm,64,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/24/2017,AQS,171430024,1,0.061,ppm,71,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/25/2017,AQS,171430024,1,0.058,ppm,61,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/26/2017,AQS,171430024,1,0.036,ppm,33,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/27/2017,AQS,171430024,1,0.03,ppm,28,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/28/2017,AQS,171430024,1,0.026,ppm,24,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/29/2017,AQS,171430024,1,0.038,ppm,35,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/30/2017,AQS,171430024,1,0.032,ppm,30,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/01/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/02/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/03/2017,AQS,171430024,1,0.045,ppm,42,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/04/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/05/2017,AQS,171430024,1,0.049,ppm,45,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/06/2017,AQS,171430024,1,0.048,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/07/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/08/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/09/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/10/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/11/2017,AQS,171430024,1,0.06,ppm,67,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/12/2017,AQS,171430024,1,0.062,ppm,74,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/13/2017,AQS,171430024,1,0.063,ppm,77,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/14/2017,AQS,171430024,1,0.061,ppm,71,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/15/2017,AQS,171430024,1,0.062,ppm,74,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/16/2017,AQS,171430024,1,0.06,ppm,67,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/17/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/18/2017,AQS,171430024,1,0.056,ppm,54,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/19/2017,AQS,171430024,1,0.021,ppm,19,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/20/2017,AQS,171430024,1,0.038,ppm,35,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/21/2017,AQS,171430024,1,0.037,ppm,34,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/22/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/23/2017,AQS,171430024,1,0.038,ppm,35,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/24/2017,AQS,171430024,1,0.044,ppm,41,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/25/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/26/2017,AQS,171430024,1,0.045,ppm,42,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/27/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/28/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
